GEOID,NAME,variable,estimate,moe
13195,"Madison County, Georgia",B25077_001,170600,8865
13197,"Marion County, Georgia",B25077_001,111300,30472
13199,"Meriwether County, Georgia",B25077_001,147200,16370
13201,"Miller County, Georgia",B25077_001,119400,13497
13205,"Mitchell County, Georgia",B25077_001,98400,6885
13207,"Monroe County, Georgia",B25077_001,204100,22844
13209,"Montgomery County, Georgia",B25077_001,105300,15075
13211,"Morgan County, Georgia",B25077_001,293300,19530
13213,"Murray County, Georgia",B25077_001,153700,9017
13215,"Muscogee County, Georgia",B25077_001,168400,4446
13217,"Newton County, Georgia",B25077_001,200300,8391
13219,"Oconee County, Georgia",B25077_001,389200,17418
13221,"Oglethorpe County, Georgia",B25077_001,176300,17780
13223,"Paulding County, Georgia",B25077_001,251100,6278
13225,"Peach County, Georgia",B25077_001,170500,12232
13227,"Pickens County, Georgia",B25077_001,263200,15892
13229,"Pierce County, Georgia",B25077_001,116800,12609
13231,"Pike County, Georgia",B25077_001,234700,10190
13233,"Polk County, Georgia",B25077_001,151400,10518
13235,"Pulaski County, Georgia",B25077_001,120500,17113
13237,"Putnam County, Georgia",B25077_001,203300,17864
13239,"Quitman County, Georgia",B25077_001,85800,21803
13241,"Rabun County, Georgia",B25077_001,236900,17155
13243,"Randolph County, Georgia",B25077_001,83800,10186
13245,"Richmond County, Georgia",B25077_001,142100,4600
